SizeRank,County,Year,Value
158,East Baton Rouge Parish,2000,198029.26635911717
160,Jefferson Parish,2000,145386.55321138212
178,Orleans Parish,2000,120772.45479674796
274,Caddo Parish,2000,132792.264846476
462,Livingston Parish,2000,150296.74796747966
1041,Washington Parish,2000,150296.74796747966
1360,Iberville Parish,2000,172569.68699312696
1560,West Baton Rouge Parish,2000,183871.31580885407
1661,Plaquemines Parish,2000,285832.149543545
1725,Pointe Coupee Parish,2000,150296.74796747966
2071,West Feliciana Parish,2000,201201.32127984273
158,East Baton Rouge Parish,2000,198029.26635911717
160,Jefferson Parish,2000,145379.03837398373
178,Orleans Parish,2000,120897.20109756097
274,Caddo Parish,2000,132792.264846476
462,Livingston Parish,2000,150296.74796747966
1041,Washington Parish,2000,150296.74796747966
1360,Iberville Parish,2000,172569.68699312696
1560,West Baton Rouge Parish,2000,183871.31580885407
1661,Plaquemines Parish,2000,285832.149543545
1725,Pointe Coupee Parish,2000,150296.74796747966
2071,West Feliciana Parish,2000,201201.32127984273
158,East Baton Rouge Parish,2000,198029.26635911717
160,Jefferson Parish,2000,145180.64666666667
178,Orleans Parish,2000,121242.88361788617
274,Caddo Parish,2000,132792.264846476
462,Livingston Parish,2000,150296.74796747966
1041,Washington Parish,2000,150296.74796747966
1360,Iberville Parish,2000,172569.68699312696
1560,West Baton Rouge Parish,2000,183871.31580885407
1661,Plaquemines Parish,2000,285832.149543545
1725,Pointe Coupee Parish,2000,150296.74796747966
2071,West Feliciana Parish,2000,201201.32127984273
158,East Baton Rouge Parish,2000,198029.26635911717
160,Jefferson Parish,2000,145392.56508130083
178,Orleans Parish,2000,121765.916300813
274,Caddo Parish,2000,132792.264846476
462,Livingston Parish,2000,150296.74796747966
1041,Washington Parish,2000,150296.74796747966
1360,Iberville Parish,2000,172569.68699312696
1560,West Baton Rouge Parish,2000,183871.31580885407
1661,Plaquemines Parish,2000,285832.149543545
1725,Pointe Coupee Parish,2000,150296.74796747966
2071,West Feliciana Parish,2000,201201.32127984273
158,East Baton Rouge Parish,2000,198029.26635911717
160,Jefferson Parish,2000,145936.6393089431
178,Orleans Parish,2000,122338.5469105691
274,Caddo Parish,2000,132792.264846476
462,Livingston Parish,2000,150296.74796747966
1041,Washington Parish,2000,150296.74796747966
1360,Iberville Parish,2000,172569.68699312696
1560,West Baton Rouge Parish,2000,183871.31580885407
1661,Plaquemines Parish,2000,285832.149543545
1725,Pointe Coupee Parish,2000,150296.74796747966
2071,West Feliciana Parish,2000,201201.32127984273
158,East Baton Rouge Parish,2000,198029.26635911717
160,Jefferson Parish,2000,146461.1749593496
178,Orleans Parish,2000,123056.96536585366
274,Caddo Parish,2000,132792.264846476
462,Livingston Parish,2000,150296.74796747966
1041,Washington Parish,2000,150296.74796747966
1360,Iberville Parish,2000,172569.68699312696
1560,West Baton Rouge Parish,2000,183871.31580885407
1661,Plaquemines Parish,2000,285832.149543545
1725,Pointe Coupee Parish,2000,150296.74796747966
2071,West Feliciana Parish,2000,201201.32127984273
158,East Baton Rouge Parish,2000,198029.26635911717
160,Jefferson Parish,2000,146688.1230487805
178,Orleans Parish,2000,123706.24731707317
274,Caddo Parish,2000,132792.264846476
462,Livingston Parish,2000,150296.74796747966
1041,Washington Parish,2000,150296.74796747966
1360,Iberville Parish,2000,172569.68699312696
1560,West Baton Rouge Parish,2000,183871.31580885407
1661,Plaquemines Parish,2000,285832.149543545
1725,Pointe Coupee Parish,2000,150296.74796747966
2071,West Feliciana Parish,2000,201201.32127984273
158,East Baton Rouge Parish,2000,198029.26635911717
160,Jefferson Parish,2000,146659.56666666668
178,Orleans Parish,2000,124585.48329268293
274,Caddo Parish,2000,132792.264846476
462,Livingston Parish,2000,150296.74796747966
1041,Washington Parish,2000,150296.74796747966
1360,Iberville Parish,2000,172569.68699312696
1560,West Baton Rouge Parish,2000,183871.31580885407
1661,Plaquemines Parish,2000,285832.149543545
1725,Pointe Coupee Parish,2000,150296.74796747966
2071,West Feliciana Parish,2000,201201.32127984273
158,East Baton Rouge Parish,2000,198029.26635911717
160,Jefferson Parish,2000,146838.41979674797
178,Orleans Parish,2000,125601.48930894308
274,Caddo Parish,2000,132792.264846476
462,Livingston Parish,2000,150296.74796747966
1041,Washington Parish,2000,150296.74796747966
1360,Iberville Parish,2000,172569.68699312696
1560,West Baton Rouge Parish,2000,183871.31580885407
1661,Plaquemines Parish,2000,285832.149543545
1725,Pointe Coupee Parish,2000,150296.74796747966
2071,West Feliciana Parish,2000,201201.32127984273
158,East Baton Rouge Parish,2000,198029.26635911717
160,Jefferson Parish,2000,147645.51333333334
178,Orleans Parish,2000,126716.69117886179
274,Caddo Parish,2000,132792.264846476
462,Livingston Parish,2000,150296.74796747966
1041,Washington Parish,2000,150296.74796747966
1360,Iberville Parish,2000,172569.68699312696
1560,West Baton Rouge Parish,2000,183871.31580885407
1661,Plaquemines Parish,2000,285832.149543545
1725,Pointe Coupee Parish,2000,150296.74796747966
2071,West Feliciana Parish,2000,201201.32127984273
158,East Baton Rouge Parish,2000,198029.26635911717
160,Jefferson Parish,2000,148799.79235772358
178,Orleans Parish,2000,128096.41532520324
274,Caddo Parish,2000,132792.264846476
462,Livingston Parish,2000,150296.74796747966
1041,Washington Parish,2000,150296.74796747966
1360,Iberville Parish,2000,172569.68699312696
1560,West Baton Rouge Parish,2000,183871.31580885407
1661,Plaquemines Parish,2000,285832.149543545
1725,Pointe Coupee Parish,2000,150296.74796747966
2071,West Feliciana Parish,2000,201201.32127984273
158,East Baton Rouge Parish,2000,198029.26635911717
160,Jefferson Parish,2000,150317.78951219513
178,Orleans Parish,2000,129092.88276422763
274,Caddo Parish,2000,132792.264846476
462,Livingston Parish,2000,150296.74796747966
1041,Washington Parish,2000,150296.74796747966
1360,Iberville Parish,2000,172569.68699312696
1560,West Baton Rouge Parish,2000,183871.31580885407
1661,Plaquemines Parish,2000,285832.149543545
1725,Pointe Coupee Parish,2000,150296.74796747966
2071,West Feliciana Parish,2000,201201.32127984273
158,East Baton Rouge Parish,2001,201783.3108827212
160,Jefferson Parish,2001,147022.47687747036
178,Orleans Parish,2001,126943.068972332
274,Caddo Parish,2001,135199.6363956651
462,Livingston Parish,2001,152115.39802371542
1041,Washington Parish,2001,152130.0118577075
1360,Iberville Parish,2001,170983.13722258937
1560,West Baton Rouge Parish,2001,183110.53915514375
1661,Plaquemines Parish,2001,296350.0947839422
1725,Pointe Coupee Parish,2001,154205.17628458497
2071,West Feliciana Parish,2001,208448.54515661427
158,East Baton Rouge Parish,2001,201783.3108827212
160,Jefferson Parish,2001,147566.1115019763
178,Orleans Parish,2001,128075.64110671937
274,Caddo Parish,2001,135199.6363956651
462,Livingston Parish,2001,152115.39802371542
1041,Washington Parish,2001,152130.0118577075
1360,Iberville Parish,2001,170983.13722258937
1560,West Baton Rouge Parish,2001,183110.53915514375
1661,Plaquemines Parish,2001,296350.0947839422
1725,Pointe Coupee Parish,2001,154205.17628458497
2071,West Feliciana Parish,2001,208448.54515661427
158,East Baton Rouge Parish,2001,201783.3108827212
160,Jefferson Parish,2001,148146.28071146246
178,Orleans Parish,2001,129209.67462450592
274,Caddo Parish,2001,135199.6363956651
462,Livingston Parish,2001,152115.39802371542
1041,Washington Parish,2001,152130.0118577075
1360,Iberville Parish,2001,170983.13722258937
1560,West Baton Rouge Parish,2001,183110.53915514375
1661,Plaquemines Parish,2001,296350.0947839422
1725,Pointe Coupee Parish,2001,154205.17628458497
2071,West Feliciana Parish,2001,208448.54515661427
158,East Baton Rouge Parish,2001,201783.3108827212
160,Jefferson Parish,2001,148577.38881422923
178,Orleans Parish,2001,129886.29513833992
274,Caddo Parish,2001,135199.6363956651
462,Livingston Parish,2001,152115.39802371542
1041,Washington Parish,2001,152130.0118577075
1360,Iberville Parish,2001,170983.13722258937
1560,West Baton Rouge Parish,2001,183110.53915514375
1661,Plaquemines Parish,2001,296350.0947839422
1725,Pointe Coupee Parish,2001,154205.17628458497
2071,West Feliciana Parish,2001,208448.54515661427
158,East Baton Rouge Parish,2001,201783.3108827212
160,Jefferson Parish,2001,149014.34245059287
178,Orleans Parish,2001,130681.28770750988
274,Caddo Parish,2001,135199.6363956651
462,Livingston Parish,2001,152115.39802371542
1041,Washington Parish,2001,152130.0118577075
1360,Iberville Parish,2001,170983.13722258937
1560,West Baton Rouge Parish,2001,183110.53915514375
1661,Plaquemines Parish,2001,296350.0947839422
1725,Pointe Coupee Parish,2001,154205.17628458497
2071,West Feliciana Parish,2001,208448.54515661427
158,East Baton Rouge Parish,2001,201783.3108827212
160,Jefferson Parish,2001,149138.56003952568
178,Orleans Parish,2001,131439.7456916996
274,Caddo Parish,2001,135199.6363956651
462,Livingston Parish,2001,152115.39802371542
1041,Washington Parish,2001,152130.0118577075
1360,Iberville Parish,2001,170983.13722258937
1560,West Baton Rouge Parish,2001,183110.53915514375
1661,Plaquemines Parish,2001,296350.0947839422
1725,Pointe Coupee Parish,2001,154205.17628458497
2071,West Feliciana Parish,2001,208448.54515661427
158,East Baton Rouge Parish,2001,201783.3108827212
160,Jefferson Parish,2001,149489.29205533597
178,Orleans Parish,2001,132331.18956521738
274,Caddo Parish,2001,135199.6363956651
462,Livingston Parish,2001,152115.39802371542
1041,Washington Parish,2001,152130.0118577075
1360,Iberville Parish,2001,170983.13722258937
1560,West Baton Rouge Parish,2001,183110.53915514375
1661,Plaquemines Parish,2001,296350.0947839422
1725,Pointe Coupee Parish,2001,154205.17628458497
2071,West Feliciana Parish,2001,208448.54515661427
158,East Baton Rouge Parish,2001,201783.3108827212
160,Jefferson Parish,2001,149711.42233201582
178,Orleans Parish,2001,132939.12505928852
274,Caddo Parish,2001,135199.6363956651
462,Livingston Parish,2001,152115.39802371542
1041,Washington Parish,2001,152130.0118577075
1360,Iberville Parish,2001,170983.13722258937
1560,West Baton Rouge Parish,2001,183110.53915514375
1661,Plaquemines Parish,2001,296350.0947839422
1725,Pointe Coupee Parish,2001,154205.17628458497
2071,West Feliciana Parish,2001,208448.54515661427
158,East Baton Rouge Parish,2001,201783.3108827212
160,Jefferson Parish,2001,150117.68691699603
178,Orleans Parish,2001,133677.1236758893
274,Caddo Parish,2001,135199.6363956651
462,Livingston Parish,2001,152115.39802371542
1041,Washington Parish,2001,152130.0118577075
1360,Iberville Parish,2001,170983.13722258937
1560,West Baton Rouge Parish,2001,183110.53915514375
1661,Plaquemines Parish,2001,296350.0947839422
1725,Pointe Coupee Parish,2001,154205.17628458497
2071,West Feliciana Parish,2001,208448.54515661427
158,East Baton Rouge Parish,2001,201783.3108827212
160,Jefferson Parish,2001,150959.4437549407
178,Orleans Parish,2001,134206.14446640317
274,Caddo Parish,2001,135199.6363956651
462,Livingston Parish,2001,152115.39802371542
1041,Washington Parish,2001,152130.0118577075
1360,Iberville Parish,2001,170983.13722258937
1560,West Baton Rouge Parish,2001,183110.53915514375
1661,Plaquemines Parish,2001,296350.0947839422
1725,Pointe Coupee Parish,2001,154205.17628458497
2071,West Feliciana Parish,2001,208448.54515661427
158,East Baton Rouge Parish,2001,201783.3108827212
160,Jefferson Parish,2001,151641.90980237152
178,Orleans Parish,2001,134575.87446640315
274,Caddo Parish,2001,135199.6363956651
462,Livingston Parish,2001,152115.39802371542
1041,Washington Parish,2001,152130.0118577075
1360,Iberville Parish,2001,170983.13722258937
1560,West Baton Rouge Parish,2001,183110.53915514375
1661,Plaquemines Parish,2001,296350.0947839422
1725,Pointe Coupee Parish,2001,154205.17628458497
2071,West Feliciana Parish,2001,208448.54515661427
158,East Baton Rouge Parish,2001,201783.3108827212
160,Jefferson Parish,2001,152314.1461660079
178,Orleans Parish,2001,134711.78312252962
274,Caddo Parish,2001,135199.6363956651
462,Livingston Parish,2001,152115.39802371542
1041,Washington Parish,2001,152130.0118577075
1360,Iberville Parish,2001,170983.13722258937
1560,West Baton Rouge Parish,2001,183110.53915514375
1661,Plaquemines Parish,2001,296350.0947839422
1725,Pointe Coupee Parish,2001,154205.17628458497
2071,West Feliciana Parish,2001,208448.54515661427
158,East Baton Rouge Parish,2002,203112.1756829897
160,Jefferson Parish,2002,149854.30241245133
178,Orleans Parish,2002,132780.54505836574
274,Caddo Parish,2002,138370.3666922994
462,Livingston Parish,2002,154279.55330739298
1041,Washington Parish,2002,155257.82723735407
1360,Iberville Parish,2002,171526.47973354516
1560,West Baton Rouge Parish,2002,185910.21260181928
1661,Plaquemines Parish,2002,303283.48128863354
1725,Pointe Coupee Parish,2002,156322.4194552529
2071,West Feliciana Parish,2002,213427.78538370092
158,East Baton Rouge Parish,2002,203112.1756829897
160,Jefferson Parish,2002,150212.52330739298
178,Orleans Parish,2002,133210.69785992216
274,Caddo Parish,2002,138370.3666922994
462,Livingston Parish,2002,154279.55330739298
1041,Washington Parish,2002,155257.82723735407
1360,Iberville Parish,2002,171526.47973354516
1560,West Baton Rouge Parish,2002,185910.21260181928
1661,Plaquemines Parish,2002,303283.48128863354
1725,Pointe Coupee Parish,2002,156322.4194552529
2071,West Feliciana Parish,2002,213427.78538370092
158,East Baton Rouge Parish,2002,203112.1756829897
160,Jefferson Parish,2002,150458.53042801554
178,Orleans Parish,2002,133991.87836575875
274,Caddo Parish,2002,138370.3666922994
462,Livingston Parish,2002,154279.55330739298
1041,Washington Parish,2002,155257.82723735407
1360,Iberville Parish,2002,171526.47973354516
1560,West Baton Rouge Parish,2002,185910.21260181928
1661,Plaquemines Parish,2002,303283.48128863354
1725,Pointe Coupee Parish,2002,156322.4194552529
2071,West Feliciana Parish,2002,213427.78538370092
158,East Baton Rouge Parish,2002,112225.2834241245
160,Jefferson Parish,2002,150806.6808560311
178,Orleans Parish,2002,134747.163385214
274,Caddo Parish,2002,138370.3666922994
462,Livingston Parish,2002,154279.55330739298
1041,Washington Parish,2002,155257.82723735407
1360,Iberville Parish,2002,171526.47973354516
1560,West Baton Rouge Parish,2002,185910.21260181928
1661,Plaquemines Parish,2002,155876.44163424123
1725,Pointe Coupee Parish,2002,156322.4194552529
2071,West Feliciana Parish,2002,213427.78538370092
158,East Baton Rouge Parish,2002,115069.47101167313
160,Jefferson Parish,2002,151456.94529182877
178,Orleans Parish,2002,135542.73027237353
274,Caddo Parish,2002,138370.3666922994
462,Livingston Parish,2002,154279.55330739298
1041,Washington Parish,2002,155257.82723735407
1360,Iberville Parish,2002,171526.47973354516
1560,West Baton Rouge Parish,2002,185910.21260181928
1661,Plaquemines Parish,2002,155818.89610894938
1725,Pointe Coupee Parish,2002,156322.4194552529
2071,West Feliciana Parish,2002,213427.78538370092
158,East Baton Rouge Parish,2002,115322.67132295719
160,Jefferson Parish,2002,152802.07194552527
178,Orleans Parish,2002,136503.74054474707
274,Caddo Parish,2002,138370.3666922994
462,Livingston Parish,2002,154279.55330739298
1041,Washington Parish,2002,155257.82723735407
1360,Iberville Parish,2002,171526.47973354516
1560,West Baton Rouge Parish,2002,185910.21260181928
1661,Plaquemines Parish,2002,155736.89373540855
1725,Pointe Coupee Parish,2002,156322.4194552529
2071,West Feliciana Parish,2002,213427.78538370092
158,East Baton Rouge Parish,2002,116837.55727626458
160,Jefferson Parish,2002,154358.67840466925
178,Orleans Parish,2002,137772.6193774319
274,Caddo Parish,2002,138370.3666922994
462,Livingston Parish,2002,154279.55330739298
1041,Washington Parish,2002,155257.82723735407
1360,Iberville Parish,2002,171526.47973354516
1560,West Baton Rouge Parish,2002,185910.21260181928
1661,Plaquemines Parish,2002,156427.44003891048
1725,Pointe Coupee Parish,2002,156322.4194552529
2071,West Feliciana Parish,2002,213427.78538370092
158,East Baton Rouge Parish,2002,115339.93498054474
160,Jefferson Parish,2002,155582.95945525292
178,Orleans Parish,2002,139310.52354085603
274,Caddo Parish,2002,138370.3666922994
462,Livingston Parish,2002,154279.55330739298
1041,Washington Parish,2002,155257.82723735407
1360,Iberville Parish,2002,171526.47973354516
1560,West Baton Rouge Parish,2002,185910.21260181928
1661,Plaquemines Parish,2002,156631.72665369647
1725,Pointe Coupee Parish,2002,156322.4194552529
2071,West Feliciana Parish,2002,213427.78538370092
158,East Baton Rouge Parish,2002,114742.90015564201
160,Jefferson Parish,2002,156192.9420233463
178,Orleans Parish,2002,140508.90910505835
274,Caddo Parish,2002,138370.3666922994
462,Livingston Parish,2002,154279.55330739298
1041,Washington Parish,2002,155257.82723735407
1360,Iberville Parish,2002,171526.47973354516
1560,West Baton Rouge Parish,2002,185910.21260181928
1661,Plaquemines Parish,2002,158487.56984435796
1725,Pointe Coupee Parish,2002,156322.4194552529
2071,West Feliciana Parish,2002,213427.78538370092
158,East Baton Rouge Parish,2002,113963.15828793774
160,Jefferson Parish,2002,156948.22704280153
178,Orleans Parish,2002,141894.31762645912
274,Caddo Parish,2002,138370.3666922994
462,Livingston Parish,2002,154279.55330739298
1041,Washington Parish,2002,155257.82723735407
1360,Iberville Parish,2002,171526.47973354516
1560,West Baton Rouge Parish,2002,185910.21260181928
1661,Plaquemines Parish,2002,159560.79389105056
1725,Pointe Coupee Parish,2002,156322.4194552529
2071,West Feliciana Parish,2002,213427.78538370092
158,East Baton Rouge Parish,2002,114436.47023346301
160,Jefferson Parish,2002,157666.1074708171
178,Orleans Parish,2002,142538.82750972762
274,Caddo Parish,2002,138370.3666922994
462,Livingston Parish,2002,154279.55330739298
1041,Washington Parish,2002,155257.82723735407
1360,Iberville Parish,2002,171526.47973354516
1560,West Baton Rouge Parish,2002,185910.21260181928
1661,Plaquemines Parish,2002,161126.03217898833
1725,Pointe Coupee Parish,2002,156322.4194552529
2071,West Feliciana Parish,2002,213427.78538370092
158,East Baton Rouge Parish,2002,114875.25486381321
160,Jefferson Parish,2002,158476.06073929957
178,Orleans Parish,2002,143202.03968871594
274,Caddo Parish,2002,138370.3666922994
462,Livingston Parish,2002,154279.55330739298
1041,Washington Parish,2002,155257.82723735407
1360,Iberville Parish,2002,171526.47973354516
1560,West Baton Rouge Parish,2002,185910.21260181928
1661,Plaquemines Parish,2002,161740.33066147857
1725,Pointe Coupee Parish,2002,156322.4194552529
2071,West Feliciana Parish,2002,213427.78538370092
158,East Baton Rouge Parish,2003,112707.97075543478
160,Jefferson Parish,2003,155355.5224945652
178,Orleans Parish,2003,140261.4961847826
274,Caddo Parish,2003,139475.2232161187
462,Livingston Parish,2003,154358.25619565215
1041,Washington Parish,2003,156496.26010869566
1360,Iberville Parish,2003,170579.17068395994
1560,West Baton Rouge Parish,2003,184486.5052623228
1661,Plaquemines Parish,2003,159679.3540923913
1725,Pointe Coupee Parish,2003,158887.44869565216
2071,West Feliciana Parish,2003,216279.30455713646
158,East Baton Rouge Parish,2003,112896.45267934781
160,Jefferson Parish,2003,155418.81866304346
178,Orleans Parish,2003,141022.45678804346
274,Caddo Parish,2003,139475.2232161187
462,Livingston Parish,2003,154358.25619565215
1041,Washington Parish,2003,156496.26010869566
1360,Iberville Parish,2003,170579.17068395994
1560,West Baton Rouge Parish,2003,184486.5052623228
1661,Plaquemines Parish,2003,161506.5034891304
1725,Pointe Coupee Parish,2003,158887.44869565216
2071,West Feliciana Parish,2003,216279.30455713646
158,East Baton Rouge Parish,2003,112799.39855434782
160,Jefferson Parish,2003,155370.99489130435
178,Orleans Parish,2003,141669.48428804346
274,Caddo Parish,2003,139475.2232161187
462,Livingston Parish,2003,154358.25619565215
1041,Washington Parish,2003,156496.26010869566
1360,Iberville Parish,2003,170579.17068395994
1560,West Baton Rouge Parish,2003,184486.5052623228
1661,Plaquemines Parish,2003,162136.65201086955
1725,Pointe Coupee Parish,2003,158887.44869565216
2071,West Feliciana Parish,2003,216279.30455713646
158,East Baton Rouge Parish,2003,112668.58647282608
160,Jefferson Parish,2003,155581.9821195652
178,Orleans Parish,2003,142413.56591304348
274,Caddo Parish,2003,139475.2232161187
462,Livingston Parish,2003,154358.25619565215
1041,Washington Parish,2003,156496.26010869566
1360,Iberville Parish,2003,170579.17068395994
1560,West Baton Rouge Parish,2003,184486.5052623228
1661,Plaquemines Parish,2003,161913.00554891303
1725,Pointe Coupee Parish,2003,158887.44869565216
2071,West Feliciana Parish,2003,216279.30455713646
158,East Baton Rouge Parish,2003,112436.50052173912
160,Jefferson Parish,2003,155659.34410326087
178,Orleans Parish,2003,143123.88958152174
274,Caddo Parish,2003,139475.2232161187
462,Livingston Parish,2003,154358.25619565215
1041,Washington Parish,2003,156496.26010869566
1360,Iberville Parish,2003,170579.17068395994
1560,West Baton Rouge Parish,2003,184486.5052623228
1661,Plaquemines Parish,2003,161569.79965760867
1725,Pointe Coupee Parish,2003,158887.44869565216
2071,West Feliciana Parish,2003,216279.30455713646
158,East Baton Rouge Parish,2003,112336.63323369564
160,Jefferson Parish,2003,156138.98840217388
178,Orleans Parish,2003,143745.59861413043
274,Caddo Parish,2003,139475.2232161187
462,Livingston Parish,2003,154358.25619565215
1041,Washington Parish,2003,156496.26010869566
1360,Iberville Parish,2003,170579.17068395994
1560,West Baton Rouge Parish,2003,184486.5052623228
1661,Plaquemines Parish,2003,162292.7825597826
1725,Pointe Coupee Parish,2003,158887.44869565216
2071,West Feliciana Parish,2003,216279.30455713646
158,East Baton Rouge Parish,2003,112239.57910869565
160,Jefferson Parish,2003,156660.8301467391
178,Orleans Parish,2003,144326.5167826087
274,Caddo Parish,2003,139475.2232161187
462,Livingston Parish,2003,154358.25619565215
1041,Washington Parish,2003,156496.26010869566
1360,Iberville Parish,2003,170579.17068395994
1560,West Baton Rouge Parish,2003,184486.5052623228
1661,Plaquemines Parish,2003,163433.52017391304
1725,Pointe Coupee Parish,2003,158887.44869565216
2071,West Feliciana Parish,2003,216279.30455713646
158,East Baton Rouge Parish,2003,112520.89541304346
160,Jefferson Parish,2003,157793.12827173912
178,Orleans Parish,2003,144865.23750543478
274,Caddo Parish,2003,139475.2232161187
462,Livingston Parish,2003,154358.25619565215
1041,Washington Parish,2003,156496.26010869566
1360,Iberville Parish,2003,170579.17068395994
1560,West Baton Rouge Parish,2003,184486.5052623228
1661,Plaquemines Parish,2003,164454.69835869563
1725,Pointe Coupee Parish,2003,158887.44869565216
2071,West Feliciana Parish,2003,216279.30455713646
158,East Baton Rouge Parish,2003,112978.03440760868
160,Jefferson Parish,2003,158589.25341304348
178,Orleans Parish,2003,145796.39447282607
274,Caddo Parish,2003,139475.2232161187
462,Livingston Parish,2003,154358.25619565215
1041,Washington Parish,2003,156496.26010869566
1360,Iberville Parish,2003,170579.17068395994
1560,West Baton Rouge Parish,2003,184486.5052623228
1661,Plaquemines Parish,2003,165775.4784076087
1725,Pointe Coupee Parish,2003,158887.44869565216
2071,West Feliciana Parish,2003,216279.30455713646
158,East Baton Rouge Parish,2003,113432.36023913043
160,Jefferson Parish,2003,159903.00055434782
178,Orleans Parish,2003,147041.21911956518
274,Caddo Parish,2003,139475.2232161187
462,Livingston Parish,2003,154358.25619565215
1041,Washington Parish,2003,156496.26010869566
1360,Iberville Parish,2003,170579.17068395994
1560,West Baton Rouge Parish,2003,184486.5052623228
1661,Plaquemines Parish,2003,166314.19913043478
1725,Pointe Coupee Parish,2003,158887.44869565216
2071,West Feliciana Parish,2003,216279.30455713646
158,East Baton Rouge Parish,2003,113613.80925543477
160,Jefferson Parish,2003,160901.6734347826
178,Orleans Parish,2003,148361.99916847824
274,Caddo Parish,2003,139475.2232161187
462,Livingston Parish,2003,154358.25619565215
1041,Washington Parish,2003,156496.26010869566
1360,Iberville Parish,2003,170579.17068395994
1560,West Baton Rouge Parish,2003,184486.5052623228
1661,Plaquemines Parish,2003,167099.0716195652
1725,Pointe Coupee Parish,2003,158887.44869565216
2071,West Feliciana Parish,2003,216279.30455713646
158,East Baton Rouge Parish,2003,113743.21475543476
160,Jefferson Parish,2003,161763.90790760866
178,Orleans Parish,2003,149765.7675271739
274,Caddo Parish,2003,139475.2232161187
462,Livingston Parish,2003,154358.25619565215
1041,Washington Parish,2003,156496.26010869566
1360,Iberville Parish,2003,170579.17068395994
1560,West Baton Rouge Parish,2003,184486.5052623228
1661,Plaquemines Parish,2003,167280.52063586956
1725,Pointe Coupee Parish,2003,158887.44869565216
2071,West Feliciana Parish,2003,216279.30455713646
158,East Baton Rouge Parish,2004,110980.45856008469
160,Jefferson Parish,2004,156573.11947591318
178,Orleans Parish,2004,146986.5627421916
274,Caddo Parish,2004,144524.64773444025
462,Livingston Parish,2004,155711.32953943886
1041,Washington Parish,2004,160301.1487559555
1360,Iberville Parish,2004,174208.85236093018
1560,West Baton Rouge Parish,2004,192557.12811502712
1661,Plaquemines Parish,2004,164167.55766013762
1725,Pointe Coupee Parish,2004,158232.3048703017
2071,West Feliciana Parish,2004,220665.14726623773
158,East Baton Rouge Parish,2004,111235.296283748
160,Jefferson Parish,2004,154845.42931709898
178,Orleans Parish,2004,148125.11192694548
274,Caddo Parish,2004,144524.64773444025
462,Livingston Parish,2004,155711.32953943886
1041,Washington Parish,2004,160301.1487559555
1360,Iberville Parish,2004,174208.85236093018
1560,West Baton Rouge Parish,2004,192557.12811502712
1661,Plaquemines Parish,2004,165319.80779777656
1725,Pointe Coupee Parish,2004,158232.3048703017
2071,West Feliciana Parish,2004,220665.14726623773
158,East Baton Rouge Parish,2004,111480.54334039173
160,Jefferson Parish,2004,153278.04030704076
178,Orleans Parish,2004,149010.1934833245
274,Caddo Parish,2004,144524.64773444025
462,Livingston Parish,2004,155711.32953943886
1041,Washington Parish,2004,160301.1487559555
1360,Iberville Parish,2004,174208.85236093018
1560,West Baton Rouge Parish,2004,192557.12811502712
1661,Plaquemines Parish,2004,166861.16499735307
1725,Pointe Coupee Parish,2004,158232.3048703017
2071,West Feliciana Parish,2004,220665.14726623773
158,East Baton Rouge Parish,2004,111876.50087877183
160,Jefferson Parish,2004,152980.72962943354
178,Orleans Parish,2004,150107.63980942295
274,Caddo Parish,2004,144524.64773444025
462,Livingston Parish,2004,155711.32953943886
1041,Washington Parish,2004,160301.1487559555
1360,Iberville Parish,2004,174208.85236093018
1560,West Baton Rouge Parish,2004,192557.12811502712
1661,Plaquemines Parish,2004,168384.7109581789
1725,Pointe Coupee Parish,2004,158232.3048703017
2071,West Feliciana Parish,2004,220665.14726623773
158,East Baton Rouge Parish,2004,112350.55384859712
160,Jefferson Parish,2004,153691.80908417152
178,Orleans Parish,2004,151198.23565907887
274,Caddo Parish,2004,144524.64773444025
462,Livingston Parish,2004,155711.32953943886
1041,Washington Parish,2004,160301.1487559555
1360,Iberville Parish,2004,174208.85236093018
1560,West Baton Rouge Parish,2004,192557.12811502712
1661,Plaquemines Parish,2004,169046.46698253043
1725,Pointe Coupee Parish,2004,158232.3048703017
2071,West Feliciana Parish,2004,220665.14726623773
158,East Baton Rouge Parish,2004,113124.65768660666
160,Jefferson Parish,2004,154730.34131286392
178,Orleans Parish,2004,152416.2503705664
274,Caddo Parish,2004,144524.64773444025
462,Livingston Parish,2004,155711.32953943886
1041,Washington Parish,2004,160301.1487559555
1360,Iberville Parish,2004,174208.85236093018
1560,West Baton Rouge Parish,2004,192557.12811502712
1661,Plaquemines Parish,2004,170134.3226416093
1725,Pointe Coupee Parish,2004,158232.3048703017
2071,West Feliciana Parish,2004,220665.14726623773
158,East Baton Rouge Parish,2004,113765.86228163049
160,Jefferson Parish,2004,155920.95411858126
178,Orleans Parish,2004,153491.77517204868
274,Caddo Parish,2004,144524.64773444025
462,Livingston Parish,2004,155711.32953943886
1041,Washington Parish,2004,160301.1487559555
1360,Iberville Parish,2004,174208.85236093018
1560,West Baton Rouge Parish,2004,192557.12811502712
1661,Plaquemines Parish,2004,170735.79447326626
1725,Pointe Coupee Parish,2004,158232.3048703017
2071,West Feliciana Parish,2004,220665.14726623773
158,East Baton Rouge Parish,2004,114726.2990788777
160,Jefferson Parish,2004,157210.21378507145
178,Orleans Parish,2004,154272.7294865008
274,Caddo Parish,2004,144524.64773444025
